user_id,sex,job.title,organization,annual.salary,age,question,question_keywords,topic_keywords,X,Y,Z
0,Male,ATL311 Team Lead,EXE Executive Offices,45999.99,38,Кто сконцентрировал свои удары против Мавритании ? Что стало постоянными объектами боевых действий на севере страны ? Что доставлялось в порт Нуадибу по железной дороге ? Что оказалось тяжелым бременем для Мавритании ?,"сконцентрировал, удары, стало","badoo, варваресос, объектом",866,627,515
1,Male,Environmental Service Worker I (D),DPW Department of Public Works,26700.1,52,"В каком году драгунский полк участвовал в экспедиции Бековича в Хиву? Где стояли пехотные полка, сформированные из шведских военнопленных? Сколько пехотных полков было сформировано в русской армии из шведских военнопленных? Сколько лет в плену был гвардеец Ханс Аппельман7","году, драгунский, полк","шекспира, году",909,0,922
2,Male,Watershed Crew Supervisor (D),DWM Department of Watershed Management,46575.01,44,Над чем активно работает Банк Хоум Кредит? Банк Хоум Кредит выпустил Памятку заёмщика совместно с ассоциацией региональных банков Россия или совместно со Сбербанком? В течение 2013 года или 2017 года семинары пройдут в различных городах по всей России? В каком году банк продолжил мероприятия по повышению финансовой грамотности в регионах? Для повышения финансовой грамотности Банк Хоум Кредит провёл конкурс среди журналистов или банкиров?,"работает, банк, выпустил",году,323,936,942
3,Female,"Benefits Representative, Sr",DHR Department of Human Reources,42866.89,42,Какая сеть отелей является примером вертикальной интеграции? Какой отель представляет сегмент экономического класса? Когда гостиничные корпорации стремятся иметь собственность в каждом из сегментов рынка? В каком сегменте рынка гостиницы обладают собственностью при вертикальной интеграции? Как могут сотрудничать гостиницы?,"сеть, отелей, является",году,611,449,242
4,Male,Recreation Operations Assistant,"PRC Parks, Recreation, & Cultural Affairs",28035.05,32,На основе какого языка образован креольский язык Суринама? Какое письмо хорошо подходит для языков с относительно простой структурой слога? К какой группе языков относится японский? На чем технически основано эфиопское письмо? Какое письмо использует язык ваи?,"основе, языка, образован",году,743,100,859
5,Male,"Management Analyst, Sr",DWM Department of Watershed Management,67800.01,44,Кого Джими Хендрикс заставил сделать более двадцати дублей акустического сопровождения в All Along the Watchtower ? Во что превратилась дисциплинированность и аккуратность Джими Хендрикса в работе? Какое пагубное пристрастие было у Джими Хендрикса? Кому Чес Чендлер в мае 1968 года передал свои полномочия? С какого дубля бала записана песня Gypsy Eyes ?,"заставил, сделать, дублей",году,307,712,539
6,Male,Police Investigator (E) (F) (O),APD Atlanta Police Department,46377.97,33,Когда впервые испытали на тренировках мяч Adidas Jabulani ? Какие были отзывы о качестве мяча Adidas Jabulani? Какие известные футбольные клубы его испытали на тренировках?,"испытали, тренировках, мяч","такое, лавкрафт",720,113,884
7,Female,Police Officer (E) (F) (O) (B) (S),APD Atlanta Police Department,39327.6,28,Как изменялись политические влияния на голосование из-за маленького числа выборщиков? Как изменилось количество кардиналов при папе Александре IV? Сколько продолжалось межцарствие после смерти Климента IV Где должны были быть закрыты кардиналы во время выборов.?,"изменялись, политические, влияния",году,591,332,642
8,Male,Management Consulting Director,DWM Department of Watershed Management,125000.01,58,Какоая компания запустила в действие собственный процессинговый центр на базе семейства продуктов SmartVista? Что позволил внедрить банку Углеметбанк собственный процессинговый центр? Когда ОАО Углеметбанк запустил в действие собственный процессинговый центр? Что запустил в действие ОАО Углеметбанк в феврале 2013 года ?,"компания, запустила, действие",не определены,885,670,260
9,Male,Police Investigator (E) (F) (O),APD Atlanta Police Department,60466.22,45,"Куда совершил своё третье плавание Янсзон 18 декабря 1603 года? Какой мореплаватель стал первым европейцем, увидевшим побережье Австралии? Кто в 1615 году доказал, что Огненная Земля является островом и не может быть северной частью неизвестного южного континента? Когда состоялась первая задокументированная высадка европейцев на австралийский континент?","совершил, третье, плавание",году,108,352,602
10,Female,Intern,DPW Department of Public Works,33238.4,21,"В какой мере Углеметбанк способен обеспечить потребности клиентов? Какой спектр банковских услуг для корпоративных клиентов и частных лиц предоставляет Углеметбанк? Чьи потребности способен в полной мере обеспечить Углеметбанк в денежных ресурсах, расчетно-кассовом обслуживании, в реализации крупных инфраструктурных и промышленных проектов? Что кроме наличия квалифицированной команды, передовых технологических решений позволяет Углеметбанку реализовывать свою стратегию развития в современных рыночных условиях?","мере, способен, обеспечить",году,923,45,322
11,Male,Police Lieutenant (E) (F) (O) (B) (S),APD Atlanta Police Department,75950.01,48,"От какого слова, предположительно, произошло название месяца апрель? Кому римляне посвещали апрель? Какой праздник в риме проводится первого апреля? В какой день месяца проводился Fortunae Virilis? Кто предполагал существование гипотетического персонажа Апера? Какой римской богине посвящали апрель? К кому относят римское название апреля?","слова, произошло, название",году,89,160,293
12,Female,Parks Worker II (D),"PRC Parks, Recreation, & Cultural Affairs",30534.45,43,"Какие приемы может сочетать в себе комбинированный витраж? При решении каких задач используется комбинированный витраж? Какой атмосферы позволяет добиться комбинированный витраж? Как называется витраж, сочетающий в себе несколько приемов? Что делали с недостающими частями витража в старину?","приемы, сочетать, комбинированный",году,549,408,504
13,Male,Police Officer (E) (F) (O) (B) (S),APD Atlanta Police Department,44259.49,34,Какая буква используется для передачи на письме окончания женского рода? В каких языках [т] является одним из основных показателей рода? Графическим вариантом чего является ﺓ [та̄’ марбӯт̣а] Что является графическим вариантом обычного ت [т]?,"буква, используется, передачи",не определены,468,472,930
14,Male,Program Management Officer,DWM Department of Watershed Management,105000.0,56,"Какой размер типичного кратера, который имеет диаметр 5 км? На чем основана классификация лунных кратеров? С чем связаны морфологические признаки кратера? Что присуще кратерам, имеющим диаметр около 100 км? Что характерно для кратеров, которые имеют диаметр больше 26 км?","размер, типичного, кратера",году,239,509,508
15,Female,"Project Manager, Sr",DPW Department of Public Works,98000.01,59,Из за чего осложнено обращение к команде Facebook? Гарантирован ли и обеспечен ответственностью конкретных сотрудников сервиса ответ на письма пользователей? Какие ответы получают пользователи с отсылками на всё тот же центр помощи сайта? Посредством чего Фейсбук принимает жалобы? Отсылая письма в центр помощи сайта получают ли ответ с информацией?,"осложнено, обращение, команде",не определены,908,765,796
16,Male,Safety & Training Officer,DWM Department of Watershed Management,48888.15,53,"Как Кумух был переименован в XIV веке ? Кто из историков описал Лаков, как одних из первых дагестанских племен, принявших магометанство? Кто построил мечеть в Гумуке, в 777 году по р.х.? Когда была построена Кумухская джума-мечеть? Что исповедают верующий народ, лакцы?","переименован, xiv, веке",году,538,29,894
17,Male,Police Officer (E) (F) (O) (B) (S),APD Atlanta Police Department,58281.18,39,Что определяет в большинстве периодических изданий жанр статьи? Что присуще статье по сравнению с другими жанрами? Что такое статья? Что по сути своей представляет статья?,"определяет, большинстве, периодических",не определены,938,80,404
18,Male,Wastewater Collection System Operator (D),DWM Department of Watershed Management,29644.92,64,"Что играет определяющую роль в карьере претендента на престижное место работы? Как часто имеют шанс получить работу в крупной компании студенты, не окончившие престижный колледж? По каким критериям для работника не сопоставимы мелкие и крупные фирмы? В каких фирмах ищут работу студенты, закончившие не статусный колледж? На чем базируется найм и дальнейшее продвижение по службе в Японии?","играет, определяющую, роль",году,279,140,895
19,Male,Firefighter (E),AFR Atlanta Fire & Recuse,37955.36,34,"Кто стал новым главой банка, после Освальда Грюбеля? Что стало следствием скандала с незаконными финансовыми операциями? Кто сменил Освальда Грюбеля на посту главы банка? Кем были совершены незаконные операции с финансами? Как звали главу банка, которому пришлось подать в отставку? Какие убытки потерпел банк? В каком размере исчисляются потери банка из-за незаконных финансовых операций?","стал, новым, главой",году,522,89,781
20,Female,Crime Scene Technician II (D),APD Atlanta Police Department,35748.9,50,"Что проявляет искусственная ДНК или РНК вирусов многих семейств, будучи введенной в клетку? Каким образом получается искусственная РНК многих семейств вирусов? Какими организациями поддерживается онлайн-база данных геномных последовательностей вирусов? Какое количество геномных последовательностей вирусов находятся в публичном доступе в наши дни? Когда был получен первый искусственный вирус?","проявляет, искусственная, вирусов",году,928,457,620
21,Male,Airport Operations Representative III (D),DOA Department of Aviation,58421.79,48,Каким по численности населения районом в Англии является город Шеффилд? Через что протекает река Шиф? Сколько составляет население составляет города Шеффилд на середину 2014 года? В каком графстве расположен город Шеффилд?,"численности, населения, районом","шекспира, году",86,833,250
22,Male,Code Enforcement Supervisor,DPW Department of Public Works,49747.57,49,"Сколько лет группе Машина времени  Какие телепрограммы такого же возраста, как Машина времени  Чем стали дискография и хиты группы В качестве кого можно считать участников группы сегодня","лет, группе, времени",не определены,504,661,496
23,Female,Recreation Operations Assistant,"PRC Parks, Recreation, & Cultural Affairs",25800.01,24,"Где преимущественно распространены языки местного населения? Какие лексические формы содержат сотни диалектов? Какое процентное соотношение составляет группа, говорящая на индоарийских языках?? Сколько человек говорит по-нуристански? Много ли людей использует иранский язык?","распространены, языки, местного",не определены,739,615,999
24,Male,Firefighter (E),AFR Atlanta Fire & Recuse,37579.44,32,"Меняется ли емкость жесткого диска при подмене одного из его секторов резервным? Для чего на каждой дорожке жесткого диска могут присутствовать дополнительные резервные секторы? С помощью чего можно восстановить данные при подмене одного из секторов жесткого диска резервным? Что происходит, если в каком-либо секторе жесткого диска возникает неисправимая ошибка?","меняется, емкость, жесткого",году,325,151,275
25,Male,"Plant Maintenance Mechanic, Sr (D)",DWM Department of Watershed Management,46807.9,52,"Что получали коммерческие банки, когда выступали посредниками в распределении средств между ОВК? Что по уставу Центральный Банк обществ взаимного кредита не мог привлекать в пассивы? Когда были открыты действия ЦБ ОВК? Бурный рост численности каких организаций привел к необходимости объединения обществ взаимного кредита в виде Центрального Банка обществ взаимного кредита?","получали, коммерческие, банки",не определены,67,954,719
