user_id,age,sex,job.title,organization,annual.salary,X,Y,Z
0,38,Male,ATL311 Team Lead,EXE Executive Offices,45999.99,584,731,52
1,52,Male,Environmental Service Worker I (D),DPW Department of Public Works,26700.1,10,316,188
2,44,Male,Watershed Crew Supervisor (D),DWM Department of Watershed Management,46575.01,733,76,460
3,42,Female,"Benefits Representative, Sr",DHR Department of Human Reources,42866.89,327,997,151
4,32,Male,Recreation Operations Assistant,"PRC Parks, Recreation, & Cultural Affairs",28035.05,642,945,352
5,44,Male,"Management Analyst, Sr",DWM Department of Watershed Management,67800.01,8,863,121
6,33,Male,Police Investigator (E) (F) (O),APD Atlanta Police Department,46377.97,205,598,677
7,28,Female,Police Officer (E) (F) (O) (B) (S),APD Atlanta Police Department,39327.6,258,967,121
8,58,Male,Management Consulting Director,DWM Department of Watershed Management,125000.01,426,588,408
9,45,Male,Police Investigator (E) (F) (O),APD Atlanta Police Department,60466.22,203,795,204
10,21,Female,Intern,DPW Department of Public Works,33238.4,9,919,430
11,48,Male,Police Lieutenant (E) (F) (O) (B) (S),APD Atlanta Police Department,75950.01,120,288,612
12,43,Female,Parks Worker II (D),"PRC Parks, Recreation, & Cultural Affairs",30534.45,23,543,828
13,34,Male,Police Officer (E) (F) (O) (B) (S),APD Atlanta Police Department,44259.49,847,5,794
14,56,Male,Program Management Officer,DWM Department of Watershed Management,105000.0,806,819,576
15,59,Female,"Project Manager, Sr",DPW Department of Public Works,98000.01,216,298,250
16,53,Male,Safety & Training Officer,DWM Department of Watershed Management,48888.15,408,620,605
17,39,Male,Police Officer (E) (F) (O) (B) (S),APD Atlanta Police Department,58281.18,160,929,435
18,64,Male,Wastewater Collection System Operator (D),DWM Department of Watershed Management,29644.92,552,51,255
19,34,Male,Firefighter (E),AFR Atlanta Fire & Recuse,37955.36,805,63,869
20,50,Female,Crime Scene Technician II (D),APD Atlanta Police Department,35748.9,415,923,449
21,48,Male,Airport Operations Representative III (D),DOA Department of Aviation,58421.79,888,48,906
22,49,Male,Code Enforcement Supervisor,DPW Department of Public Works,49747.57,320,955,177
23,24,Female,Recreation Operations Assistant,"PRC Parks, Recreation, & Cultural Affairs",25800.01,655,450,339
24,32,Male,Firefighter (E),AFR Atlanta Fire & Recuse,37579.44,744,524,821
25,52,Male,"Plant Maintenance Mechanic, Sr (D)",DWM Department of Watershed Management,46807.9,400,502,569
26,51,Male,Firefighter (E),AFR Atlanta Fire & Recuse,35785.83,462,750,169
27,51,Male,Fire Sergeant (E),AFR Atlanta Fire & Recuse,50841.03,56,818,121
28,28,Female,Environmental Service Worker I (D),DPW Department of Public Works,25461.01,508,336,831
29,51,Male,Electrician Specialist,DOA Department of Aviation,56407.51,509,615,245
30,35,Female,Facilities Maintenance Mechanic (D),"PRC Parks, Recreation, & Cultural Affairs",32055.84,285,103,833
31,28,Male,Urban Planner I,PCD Planning & Community Development,41651.67,213,859,729
32,61,Female,Corrections Officer (E),COR Department of Corrections,42807.23,189,389,157
33,60,Male,Pension Administrator,DHR Department of Human Reources,62720.0,101,750,264
34,34,Female,Recreation Operations Assistant,"PRC Parks, Recreation, & Cultural Affairs",26703.01,150,147,436
35,29,Male,Performance & Operations Consultant,EXE Executive Offices,85000.01,540,893,351
36,47,Male,Network Engineer,DIT Department of Information Technology,75000.02,766,649,347
37,49,Male,Plant Maintenance Supervisor (D),DWM Department of Watershed Management,52542.1,278,440,79
38,48,Male,Gardener,"PRC Parks, Recreation, & Cultural Affairs",30908.61,249,843,141
39,48,Male,Police Sergeant (E) (F) (O) (B) (S),APD Atlanta Police Department,67535.69,527,998,180
40,53,Female,Corrections ID Technician (D),COR Department of Corrections,32638.17,812,555,907
41,54,Male,Corrections Officer (E),COR Department of Corrections,48684.48,406,225,573
42,51,Male,"Zoning Inspector, Sr",PCD Planning & Community Development,50220.52,795,994,903
43,47,Male,Watershed Operations Coordinator,DWM Department of Watershed Management,58747.1,479,3,988
44,49,Female,"Human Resources, Deputy Commissioner",DHR Department of Human Reources,150000.01,66,505,300
45,63,Male,"Laboratory Technician, Sr (D)",DWM Department of Watershed Management,41059.06,723,281,174
46,25,Male,Accounting Technical Specialist,DOF Department of Finance,37777.51,0,143,308
47,50,Female,"Programmer Analyst, Sr",DWM Department of Watershed Management,67000.0,750,224,732
48,25,Female,Water Service Representative,DWM Department of Watershed Management,34617.02,500,295,559
49,64,Male,Desk Top Support Technician,DWM Department of Watershed Management,52369.82,42,481,906
50,64,Male,Electrician (D),DPW Department of Public Works,35355.65,778,568,778
51,53,Male,Police Officer (E) (F) (O) (B) (S),APD Atlanta Police Department,34726.37,598,204,545
52,49,Male,Fire Captain (E),AFR Atlanta Fire & Recuse,55279.3,803,529,367
53,57,Male,"Custodian, Sr (D)",DPW Department of Public Works,33110.06,330,440,186
54,62,Female,City Council Member,CCN City Council,60300.01,541,533,116
